business_name,phone_e164,city,category,demo_url,message
All Makes Appliance & Refrigeration Servicing,+12503762441,Kamloops,Appliance repair service,https://jaggyai.github.io/bc-demos/kamloops/local-business/all-makes-appliance-refrigeration-servicing/,"Hi, it's Jag - I build websites for Kamloops businesses & built All Makes Appliance & Refrigeration Servicing a free demo: https://jaggyai.github.io/bc-demos/kamloops/local-business/all-makes-appliance-refrigeration-servicing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Gene's Plumbing & Heating,+12503743332,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/genes-plumbing-heating/,"Hi, it's Jag - I build websites for Kamloops businesses & built Gene's Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/genes-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Decicco Plumbing & Heating,+12503206586,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/decicco-plumbing-heating/,"Hi, it's Jag - I build websites for Kamloops businesses & built Decicco Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/decicco-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Westway Plumbing & Heating Inc,+12503721277,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/westway-plumbing-heating-inc/,"Hi, it's Jag - I build websites for Kamloops businesses & built Westway Plumbing & Heating Inc a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/westway-plumbing-heating-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
North River Plumbing & Heating,+12503194238,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/north-river-plumbing-heating/,"Hi, it's Jag - I build websites for Kamloops businesses & built North River Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/north-river-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
TA Plumbing - Kamloops Plumbing Services,+12504343087,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/ta-plumbing-kamloops-plumbing-services/,"Hi, it's Jag - I build websites for Kamloops businesses & built TA Plumbing - Kamloops Plumbing Services a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/ta-plumbing-kamloops-plumbing-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Westcore Services,+12508514492,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/westcore-services/,"Hi, it's Jag - I build websites for Kamloops businesses & built Westcore Services a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/westcore-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
JOK Plumbing,+12504603158,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/jok-plumbing/,"Hi, it's Jag - I build websites for Kamloops businesses & built JOK Plumbing a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/jok-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Twin River Plumbing & Heating (1985) Co Ltd,+12503760221,Kamloops,Plumber,https://jaggyai.github.io/bc-demos/kamloops/plumbers/twin-river-plumbing-heating-1985-co-ltd/,"Hi, it's Jag - I build websites for Kamloops businesses & built Twin River Plumbing & Heating (1985) Co Ltd a free demo: https://jaggyai.github.io/bc-demos/kamloops/plumbers/twin-river-plumbing-heating-1985-co-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Cedar Reno & Construction,+17789210315,Kamloops,Construction company,https://jaggyai.github.io/bc-demos/kamloops/contractors/cedar-reno-construction/,"Hi, it's Jag - I build websites for Kamloops businesses & built Cedar Reno & Construction a free demo: https://jaggyai.github.io/bc-demos/kamloops/contractors/cedar-reno-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
