business_name,phone_e164,city,category,demo_url,message
Rook and Raven Home Services,+17789667655,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/rook-and-raven-home-services/,"Hi, it's Jag - I build websites for BC businesses & built Rook and Raven Home Services a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/rook-and-raven-home-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Solutions Plumbing,+12508846563,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/solutions-plumbing/,"Hi, it's Jag - I build websites for BC businesses & built Solutions Plumbing a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/solutions-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Backyard Pros – Handyman & Fountains,+16726610710,Unknown-BC,Handyman/Handywoman/Handyperson,https://jaggyai.github.io/bc-demos/bc/handyman/backyard-pros-handyman-fountains/,"Hi, it's Jag - I build websites for BC businesses & built Backyard Pros – Handyman & Fountains a free demo: https://jaggyai.github.io/bc-demos/bc/handyman/backyard-pros-handyman-fountains/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Advanced Plumbing & Heating,+16043094832,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/advanced-plumbing-heating/,"Hi, it's Jag - I build websites for BC businesses & built Advanced Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/advanced-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Gill heating,+17788785702,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/gill-heating/,"Hi, it's Jag - I build websites for BC businesses & built Gill heating a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/gill-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
V & R Drain Cleaning,+16048548784,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/v-r-drain-cleaning/,"Hi, it's Jag - I build websites for BC businesses & built V & R Drain Cleaning a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/v-r-drain-cleaning/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Lally Plumbing & Heating LTD,+17788989934,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/lally-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for BC businesses & built Lally Plumbing & Heating LTD a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/lally-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
KANDU Bathroom Renovation,+17788983103,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/kandu-bathroom-renovation/,"Hi, it's Jag - I build websites for BC businesses & built KANDU Bathroom Renovation a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/kandu-bathroom-renovation/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Zee's Plumbing Inc.,+16046032547,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/zees-plumbing-inc/,"Hi, it's Jag - I build websites for BC businesses & built Zee's Plumbing Inc. a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/zees-plumbing-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Clear Drain Plumbing Services Ltd.,+16042726900,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/clear-drain-plumbing-services-ltd/,"Hi, it's Jag - I build websites for BC businesses & built Clear Drain Plumbing Services Ltd. a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/clear-drain-plumbing-services-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Serene Plumbing & Heating,+16047794995,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/serene-plumbing-heating/,"Hi, it's Jag - I build websites for BC businesses & built Serene Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/serene-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Mariner Plumbing Ltd.,+17785224099,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/mariner-plumbing-ltd/,"Hi, it's Jag - I build websites for BC businesses & built Mariner Plumbing Ltd. a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/mariner-plumbing-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
MLM National Plumbing Com Inc,+16042324000,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/mlm-national-plumbing-com-inc/,"Hi, it's Jag - I build websites for BC businesses & built MLM National Plumbing Com Inc a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/mlm-national-plumbing-com-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Imperial Plumbing and Heating,+17788582729,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/imperial-plumbing-and-heating/,"Hi, it's Jag - I build websites for BC businesses & built Imperial Plumbing and Heating a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/imperial-plumbing-and-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Flow-Rite plumbing and heating ltd.,+16036552055,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/flow-rite-plumbing-and-heating-ltd/,"Hi, it's Jag - I build websites for BC businesses & built Flow-Rite plumbing and heating ltd. a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/flow-rite-plumbing-and-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
West Coast Plumbing Repairs,+16046007604,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/west-coast-plumbing-repairs/,"Hi, it's Jag - I build websites for BC businesses & built West Coast Plumbing Repairs a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/west-coast-plumbing-repairs/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Perpetual mechanical,+17789962710,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/perpetual-mechanical/,"Hi, it's Jag - I build websites for BC businesses & built Perpetual mechanical a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/perpetual-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Smartfix Mechanical Ltd,+12368587301,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/smartfix-mechanical-ltd/,"Hi, it's Jag - I build websites for BC businesses & built Smartfix Mechanical Ltd a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/smartfix-mechanical-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Westside Plumbing and Heating,+17789844429,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/westside-plumbing-and-heating/,"Hi, it's Jag - I build websites for BC businesses & built Westside Plumbing and Heating a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/westside-plumbing-and-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Lionsbay Plumbing & Heating,+16048025466,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/lionsbay-plumbing-heating/,"Hi, it's Jag - I build websites for BC businesses & built Lionsbay Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/lionsbay-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Top-Line Plumbing & Heating Ltd,+16048097177,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/top-line-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for BC businesses & built Top-Line Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/top-line-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
LSG Mechanical,+12502582538,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/lsg-mechanical/,"Hi, it's Jag - I build websites for BC businesses & built LSG Mechanical a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/lsg-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
O-Zone Plumbing & Heating ltd,+12503179502,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/o-zone-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for BC businesses & built O-Zone Plumbing & Heating ltd a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/o-zone-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
PlumbWise Plumbing & Heating Ltd,+12508706176,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/plumbwise-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for BC businesses & built PlumbWise Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/plumbwise-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
FPH Mechanical,+12505758919,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/fph-mechanical/,"Hi, it's Jag - I build websites for BC businesses & built FPH Mechanical a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/fph-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Tricastle Plumbing and Excavation,+12503000742,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/tricastle-plumbing-and-excavation/,"Hi, it's Jag - I build websites for BC businesses & built Tricastle Plumbing and Excavation a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/tricastle-plumbing-and-excavation/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
KH Plumbing & Gas Fitting Ltd.,+12502153100,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/kh-plumbing-gas-fitting-ltd/,"Hi, it's Jag - I build websites for BC businesses & built KH Plumbing & Gas Fitting Ltd. a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/kh-plumbing-gas-fitting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
RAW Mechanical,+12508627622,Unknown-BC,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/raw-mechanical/,"Hi, it's Jag - I build websites for BC businesses & built RAW Mechanical a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/raw-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
