business_name,phone_e164,city,category,demo_url,message
Western BC Plumbing & Heating Ltd,+16043527167,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/western-bc-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Western BC Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/western-bc-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
PureFlow Mechanical.,+17782311321,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/pureflow-mechanical/,"Hi, it's Jag - I build websites for Vancouver businesses & built PureFlow Mechanical. a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/pureflow-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Superstar Plumbing Heating & Sprinkler Supplies Ltd,+16043225732,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/superstar-plumbing-heating-sprinkler-supplies-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Superstar Plumbing Heating & Sprinkler Supplies Ltd a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/superstar-plumbing-heating-sprinkler-supplies-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ABS Plumbing Services - Sunset,+15818047481,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/abs-plumbing-services-sunset/,"Hi, it's Jag - I build websites for Vancouver businesses & built ABS Plumbing Services - Sunset a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/abs-plumbing-services-sunset/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
backflow testing masters vancouver,+16043770059,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/backflow-testing-masters-vancouver/,"Hi, it's Jag - I build websites for Vancouver businesses & built backflow testing masters vancouver a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/backflow-testing-masters-vancouver/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
"Caledonia Projects, Painting & Renovations Ltd",+17788731678,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/caledonia-projects-painting-renovations-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Caledonia Projects, Painting & Renovations Ltd a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/caledonia-projects-painting-renovations-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Waterhouse Construction,+16043255263,Vancouver,Construction company,https://jaggyai.github.io/bc-demos/vancouver/contractors/waterhouse-construction/,"Hi, it's Jag - I build websites for Vancouver businesses & built Waterhouse Construction a free demo: https://jaggyai.github.io/bc-demos/vancouver/contractors/waterhouse-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
TideLine Mechanical,+16043186529,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/tideline-mechanical/,"Hi, it's Jag - I build websites for Vancouver businesses & built TideLine Mechanical a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/tideline-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Calley Mechanical Ltd.,+17782429084,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/calley-mechanical-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Calley Mechanical Ltd. a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/calley-mechanical-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
FIY,+16047103627,Vancouver,Repair service,https://jaggyai.github.io/bc-demos/vancouver/handyman/fiy/,"Hi, it's Jag - I build websites for Vancouver businesses & built FIY a free demo: https://jaggyai.github.io/bc-demos/vancouver/handyman/fiy/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Vancouver Plumbing,+17788196494,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/vancouver-plumbing/,"Hi, it's Jag - I build websites for Vancouver businesses & built Vancouver Plumbing a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/vancouver-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Trinity Plumbing Heating & Gas Inc,+16042513800,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/trinity-plumbing-heating-gas-inc/,"Hi, it's Jag - I build websites for Vancouver businesses & built Trinity Plumbing Heating & Gas Inc a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/trinity-plumbing-heating-gas-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
"Blueshore Mechanical, Plumbing & Heating",+16047282583,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/blueshore-mechanical-plumbing-heating/,"Hi, it's Jag - I build websites for Vancouver businesses & built Blueshore Mechanical, Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/blueshore-mechanical-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
