business_name,phone_e164,city,category,demo_url,message
M. Griffin Ltd1,+12503825159,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/m-griffin-ltd/,"Hi, it's Jag - I build websites for Victoria businesses & built M. Griffin Ltd1 a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/m-griffin-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
By Design Plumbing & Heating,+12505076857,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/by-design-plumbing-heating/,"Hi, it's Jag - I build websites for Victoria businesses & built By Design Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/by-design-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ParkerDean - Plumbing Done Right,+12509780001,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/parkerdean-plumbing-done-right/,"Hi, it's Jag - I build websites for Victoria businesses & built ParkerDean - Plumbing Done Right a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/parkerdean-plumbing-done-right/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Malahat Plumbing & Gas,+12505805810,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/malahat-plumbing-gas/,"Hi, it's Jag - I build websites for Victoria businesses & built Malahat Plumbing & Gas a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/malahat-plumbing-gas/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Southern Comfort Renovations,+17786772718,Victoria,Interior construction contractor,https://jaggyai.github.io/bc-demos/victoria/interior-design/southern-comfort-renovations/,"Hi, it's Jag - I build websites for Victoria businesses & built Southern Comfort Renovations a free demo: https://jaggyai.github.io/bc-demos/victoria/interior-design/southern-comfort-renovations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fernwood Auto Service,+12503854933,Victoria,Auto repair shop,https://jaggyai.github.io/bc-demos/victoria/local-business/fernwood-auto-service/,"Hi, it's Jag - I build websites for Victoria businesses & built Fernwood Auto Service a free demo: https://jaggyai.github.io/bc-demos/victoria/local-business/fernwood-auto-service/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Verda Construction,+12509865826,Victoria,Siding contractor,https://jaggyai.github.io/bc-demos/victoria/fence-deck/verda-construction/,"Hi, it's Jag - I build websites for Victoria businesses & built Verda Construction a free demo: https://jaggyai.github.io/bc-demos/victoria/fence-deck/verda-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Odd Job Maintenance,+12508857227,Victoria,Handyman/Handywoman/Handyperson,https://jaggyai.github.io/bc-demos/victoria/handyman/odd-job-maintenance/,"Hi, it's Jag - I build websites for Victoria businesses & built Odd Job Maintenance a free demo: https://jaggyai.github.io/bc-demos/victoria/handyman/odd-job-maintenance/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
"Burly Builders Home Renovations, Repairs, & Handyman Services",+12509992008,Victoria,Handyman/Handywoman/Handyperson,https://jaggyai.github.io/bc-demos/victoria/handyman/burly-builders-home-renovations-repairs-handyman-services/,"Hi, it's Jag - I build websites for Victoria businesses & built Burly Builders Home Renovations, Repairs, & Handyman Services a free demo: https://jaggyai.github.io/bc-demos/victoria/handyman/burly-builders-home-renovations-repairs-handyman-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Top Quality Group,+12505907366,Victoria,General contractor,https://jaggyai.github.io/bc-demos/victoria/contractors/top-quality-group/,"Hi, it's Jag - I build websites for Victoria businesses & built Top Quality Group a free demo: https://jaggyai.github.io/bc-demos/victoria/contractors/top-quality-group/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Hunter Construction Ltd,+12503867791,Victoria,Construction company,https://jaggyai.github.io/bc-demos/victoria/contractors/hunter-construction-ltd/,"Hi, it's Jag - I build websites for Victoria businesses & built Hunter Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/victoria/contractors/hunter-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Olde Country Masonry Ltd,+12507277099,Victoria,Masonry contractor,https://jaggyai.github.io/bc-demos/victoria/concrete/olde-country-masonry-ltd/,"Hi, it's Jag - I build websites for Victoria businesses & built Olde Country Masonry Ltd a free demo: https://jaggyai.github.io/bc-demos/victoria/concrete/olde-country-masonry-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Craftsman Builders Renovations,+12508846116,Victoria,Construction company,https://jaggyai.github.io/bc-demos/victoria/contractors/craftsman-builders-renovations/,"Hi, it's Jag - I build websites for Victoria businesses & built Craftsman Builders Renovations a free demo: https://jaggyai.github.io/bc-demos/victoria/contractors/craftsman-builders-renovations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
J P Drywall Systems,+12503880023,Victoria,Dry wall contractor,https://jaggyai.github.io/bc-demos/victoria/drywall/j-p-drywall-systems/,"Hi, it's Jag - I build websites for Victoria businesses & built J P Drywall Systems a free demo: https://jaggyai.github.io/bc-demos/victoria/drywall/j-p-drywall-systems/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Forsite Landscape Architecture,+12505905302,Victoria,Landscaper,https://jaggyai.github.io/bc-demos/victoria/landscapers/forsite-landscape-architecture/,"Hi, it's Jag - I build websites for Victoria businesses & built Forsite Landscape Architecture a free demo: https://jaggyai.github.io/bc-demos/victoria/landscapers/forsite-landscape-architecture/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Studio Watchword,+16047540831,Victoria,Interior designer,https://jaggyai.github.io/bc-demos/victoria/interior-design/studio-watchword/,"Hi, it's Jag - I build websites for Victoria businesses & built Studio Watchword a free demo: https://jaggyai.github.io/bc-demos/victoria/interior-design/studio-watchword/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Frascape Landscaping & Irrgtn,+12508821410,Victoria,Lawn sprinkler system contractor,https://jaggyai.github.io/bc-demos/victoria/landscapers/frascape-landscaping-irrgtn/,"Hi, it's Jag - I build websites for Victoria businesses & built Frascape Landscaping & Irrgtn a free demo: https://jaggyai.github.io/bc-demos/victoria/landscapers/frascape-landscaping-irrgtn/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Architect Victoria,+12508934322,Victoria,Architect,https://jaggyai.github.io/bc-demos/victoria/real-estate/architect-victoria/,"Hi, it's Jag - I build websites for Victoria businesses & built Architect Victoria a free demo: https://jaggyai.github.io/bc-demos/victoria/real-estate/architect-victoria/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
HardHats,+12503885627,Victoria,Construction company,https://jaggyai.github.io/bc-demos/victoria/contractors/hardhats/,"Hi, it's Jag - I build websites for Victoria businesses & built HardHats a free demo: https://jaggyai.github.io/bc-demos/victoria/contractors/hardhats/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Graham Demolition,+12503857033,Victoria,Demolition contractor,https://jaggyai.github.io/bc-demos/victoria/excavating/graham-demolition/,"Hi, it's Jag - I build websites for Victoria businesses & built Graham Demolition a free demo: https://jaggyai.github.io/bc-demos/victoria/excavating/graham-demolition/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Premium BMG Homes,+12508896767,Victoria,Real estate developer,https://jaggyai.github.io/bc-demos/victoria/real-estate/premium-bmg-homes/,"Hi, it's Jag - I build websites for Victoria businesses & built Premium BMG Homes a free demo: https://jaggyai.github.io/bc-demos/victoria/real-estate/premium-bmg-homes/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Mada Construction Ltd,+12503856232,Victoria,Construction company,https://jaggyai.github.io/bc-demos/victoria/contractors/mada-construction-ltd/,"Hi, it's Jag - I build websites for Victoria businesses & built Mada Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/victoria/contractors/mada-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Balmoral Garden Court,+12508125906,Victoria,Construction company,https://jaggyai.github.io/bc-demos/victoria/contractors/balmoral-garden-court/,"Hi, it's Jag - I build websites for Victoria businesses & built Balmoral Garden Court a free demo: https://jaggyai.github.io/bc-demos/victoria/contractors/balmoral-garden-court/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
SPOC Management - Property Maintenance,+12505895007,Victoria,General contractor,https://jaggyai.github.io/bc-demos/victoria/contractors/spoc-management-property-maintenance/,"Hi, it's Jag - I build websites for Victoria businesses & built SPOC Management - Property Maintenance a free demo: https://jaggyai.github.io/bc-demos/victoria/contractors/spoc-management-property-maintenance/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
