business_name,phone_e164,city,category,demo_url,message
Phil Robinson Plumbing,+17788384901,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/phil-robinson-plumbing/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Phil Robinson Plumbing a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/phil-robinson-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
West Coast Ground Water,+16043096281,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/west-coast-ground-water/,"Hi, it's Jag - I build websites for Abbotsford businesses & built West Coast Ground Water a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/west-coast-ground-water/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
High Class Plumbing & Heating,+16043092120,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/high-class-plumbing-heating/,"Hi, it's Jag - I build websites for Abbotsford businesses & built High Class Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/high-class-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Blue Gold Plumbing & Heating Ltd,+17788230972,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/blue-gold-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Blue Gold Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/blue-gold-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
222 Plumbing & Heating Ltd.,+17788780433,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/222-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built 222 Plumbing & Heating Ltd. a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/222-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
FAIRMONT PLUMBING & HEATING LTD,+16049616752,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/fairmont-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built FAIRMONT PLUMBING & HEATING LTD a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/fairmont-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Phoenix Flow Solutions,+16048661648,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/phoenix-flow-solutions/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Phoenix Flow Solutions a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/phoenix-flow-solutions/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Chhokar plumbing&heating ltd,+17787233322,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/chhokar-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Chhokar plumbing&heating ltd a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/chhokar-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Assa Mechanical,+16725882610,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/assa-mechanical/,"Hi, it's Jag - I build websites for Abbotsford businesses & built Assa Mechanical a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/assa-mechanical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
A&J Plumbing Heating Ltd,+16048972266,Abbotsford,Plumber,https://jaggyai.github.io/bc-demos/abbotsford/plumbers/a-j-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Abbotsford businesses & built A&J Plumbing Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/abbotsford/plumbers/a-j-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
