business_name,phone_e164,city,category,demo_url,message
Kirk’s Plumbing & Gas,+17782515061,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/kirk-s-plumbing-gas/,"Hi, it's Jag - I build websites for Surrey businesses & built Kirk’s Plumbing & Gas a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/kirk-s-plumbing-gas/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Block Plumbing and Heating,+16044418863,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/block-plumbing-and-heating/,"Hi, it's Jag - I build websites for Surrey businesses & built Block Plumbing and Heating a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/block-plumbing-and-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ASAP Plumbing & Heating Ltd,+16045816001,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/asap-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Surrey businesses & built ASAP Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/asap-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
BESTVS Plumbing & Heating Inc,+16047195710,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/bestvs-plumbing-heating-inc/,"Hi, it's Jag - I build websites for Surrey businesses & built BESTVS Plumbing & Heating Inc a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/bestvs-plumbing-heating-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Onyx Plumbing & Heating,+17789267416,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/onyx-plumbing-heating/,"Hi, it's Jag - I build websites for Surrey businesses & built Onyx Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/onyx-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
MBBS PLUMBING & HEATING LTD.,+16047798427,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/mbbs-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Surrey businesses & built MBBS PLUMBING & HEATING LTD. a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/mbbs-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Ror plumbing and heating Ltd.,+17787230448,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/ror-plumbing-and-heating-ltd/,"Hi, it's Jag - I build websites for Surrey businesses & built Ror plumbing and heating Ltd. a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/ror-plumbing-and-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Speed Plumbing & Heating Ltd.,+16048132100,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/speed-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Surrey businesses & built Speed Plumbing & Heating Ltd. a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/speed-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Quadra Mechanical Ltd,+16045423388,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/quadra-mechanical-ltd/,"Hi, it's Jag - I build websites for Surrey businesses & built Quadra Mechanical Ltd a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/quadra-mechanical-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Service Plumbing & Hot Water,+16045362216,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/service-plumbing-hot-water/,"Hi, it's Jag - I build websites for Surrey businesses & built Service Plumbing & Hot Water a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/service-plumbing-hot-water/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Ener-Save,+16045358001,Surrey,Plumber,https://jaggyai.github.io/bc-demos/surrey/plumbers/ener-save/,"Hi, it's Jag - I build websites for Surrey businesses & built Ener-Save a free demo: https://jaggyai.github.io/bc-demos/surrey/plumbers/ener-save/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
